,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0097447,CC,GO:0097447,dendritic tree,133/797,500/8436,1.02300825816808e-30,5.30736684337599e-27,3.72482691052987e-27,Epha4/Camk2n1/Slc1a2/Marcks/Crmp1/Syn1/Cpne6/Ptprz1/Kirrel3/Ret/Ncdn/Dlg3/Lamp1/Negr1/Arrb1/Ptk2/Cplx2/Abl2/Ppp1r9a/Psd/Kcna2/Fyn/Sh3gl2/Dlg4/Slc1a1/Epha5/Cdk5r1/Prkca/Fgf13/Ntrk2/Atp2b2/Gria1/Gria2/Nsf/Map2/Trim9/Tacr1/Map1b/Fscn1/Myo5a/Kcnb1/Cpe/Atp2b1/Zfp385a/Trak2/Mpp2/Apc/Cck/Calb2/Kif5a/Arhgef2/Slc8a1/Shisa9/Nptn/Shisa6/Slc1a3/Dner/Ppp1cc/Apoe/Kcnj4/Gabra1/Reln/Penk/Atp1a2/Zfp804a/Sez6/Sipa1l1/Elovl5/Pak1/Camk2b/Rplp0/Dlg2/Gnai2/Nsg2/Ank3/Mapk1/Cplx1/Cacna1g/Map2k1/Rtn4/Grm5/Dcx/Gria3/Kcnd2/Apod/Inpp5j/Syt7/Lrp4/Grm1/Atcay/Ybx1/Grin1/Dpysl5/Baiap2/Ppp3ca/Gng13/Cacng3/Arhgap44/Camk2a/Ptpro/Kif1b/Arc/Nrgn/Rap1gap/Th/Cnn3/Canx/Bcan/Whrn/Chrm1/Bin1/Ppfia1/Cryab/Sorbs2/Gabra5/Ptk2b/Hpca/Kcnip1/Nin/Synpo/Kcna4/Lamp5/Rgs12/Amigo1/Kcnb2/Anxa5/Fcgr2b/Wls/Itpr3/Lpar1/Chl1/Prss12/Calb1,133
GO:0030425,CC,GO:0030425,dendrite,132/797,498/8436,2.61238846607141e-30,6.77653568098925e-27,4.7559219495479e-27,Epha4/Camk2n1/Slc1a2/Marcks/Crmp1/Syn1/Cpne6/Ptprz1/Kirrel3/Ret/Ncdn/Dlg3/Lamp1/Negr1/Arrb1/Ptk2/Cplx2/Abl2/Ppp1r9a/Psd/Kcna2/Fyn/Sh3gl2/Dlg4/Slc1a1/Epha5/Cdk5r1/Prkca/Fgf13/Ntrk2/Atp2b2/Gria1/Gria2/Nsf/Map2/Trim9/Tacr1/Map1b/Fscn1/Myo5a/Kcnb1/Cpe/Atp2b1/Zfp385a/Trak2/Mpp2/Apc/Cck/Calb2/Kif5a/Arhgef2/Slc8a1/Shisa9/Nptn/Shisa6/Slc1a3/Dner/Ppp1cc/Apoe/Kcnj4/Gabra1/Reln/Penk/Atp1a2/Zfp804a/Sez6/Sipa1l1/Pak1/Camk2b/Rplp0/Dlg2/Gnai2/Nsg2/Ank3/Mapk1/Cplx1/Cacna1g/Map2k1/Rtn4/Grm5/Dcx/Gria3/Kcnd2/Apod/Inpp5j/Syt7/Lrp4/Grm1/Atcay/Ybx1/Grin1/Dpysl5/Baiap2/Ppp3ca/Gng13/Cacng3/Arhgap44/Camk2a/Ptpro/Kif1b/Arc/Nrgn/Rap1gap/Th/Cnn3/Canx/Bcan/Whrn/Chrm1/Bin1/Ppfia1/Cryab/Sorbs2/Gabra5/Ptk2b/Hpca/Kcnip1/Nin/Synpo/Kcna4/Lamp5/Rgs12/Amigo1/Kcnb2/Anxa5/Fcgr2b/Wls/Itpr3/Lpar1/Chl1/Prss12/Calb1,132
GO:0030424,CC,GO:0030424,axon,131/797,495/8436,5.33547503827471e-30,8.96674818335778e-27,6.29306130873565e-27,Epha4/Slc17a6/Fkbp1a/Slc1a2/Marcks/Crmp1/Syn1/Dync1i1/Cpne6/Ptprz1/Kirrel3/Nfib/Ret/Dlg3/Cplx2/Caly/Vim/Glul/Ppp1r9a/Dst/Ncam1/Kcna2/Mgll/Snap25/Dlg4/Kif5b/Pcp4/Scn1b/Slc1a1/Epha5/Cdk5r1/Prkca/Syt1/Stxbp1/Fgf13/Ntrk2/Nrsn1/Eno2/Gria1/Pfn2/Gria2/Olfm1/Map2/Unc13c/Map1b/Fscn1/Slc6a1/Myo5a/Kcnb1/Trak2/Car2/Snap91/Amph/Cst3/Apc/Gad1/Cck/Calb2/Sdc3/Kif5a/Gpm6a/Slc8a1/Mbp/Serpinf1/Bsg/Nptn/Prkcb/Reln/Penk/Zfp804a/Scn3a/Rab3a/Gabrb3/Gdpd5/Pak1/Dlg2/Dynll1/Calm1/Ank3/Mapk1/Slc17a7/Nav1/Cplx1/Map2k1/Rtn4/Dcx/Gria3/Aldoc/Inpp5j/Omp/Syt7/Grm1/Atcay/Ttyh1/Ccsap/Grin1/Sncb/Dclk1/Camk2a/Kif1b/Nrgn/Rap1gap/Th/Canx/Syt5/Bcan/Cldn5/Npy/Snx18/Hepacam/Whrn/Aldh1a1/Chrm1/Bin1/Ppfia1/Cryab/Ptk2b/Hpca/Nin/Myh14/Kcna4/Lamp5/Amigo1/Sphk1/Npy1r/Anxa5/Htr3a/Aqp1/Prss12/Calb1/Rxra,131
GO:0099536,BP,GO:0099536,synaptic signaling,131/797,497/8436,8.27916766137788e-30,8.96674818335778e-27,6.29306130873565e-27,Epha4/Slc6a9/Slc17a6/Cacnb4/Cx3cl1/Syn1/Nptx1/Anks1b/Ncdn/Ptk2/Cplx2/Dlgap1/Glul/Ppp1r9a/Plcb1/Mctp1/Ctbp2/Ncam1/Mgll/Fyn/Lin7a/Snap25/Dlg4/Kif5b/Slc1a1/Cdk5r1/Prkca/Kalrn/Syt1/Stxbp1/Prkce/Ntrk2/Atp2b2/Gria1/Pfn2/Gria2/Trim9/Unc13c/Tacr1/Slc6a1/Nr4a1/Myo5a/Egr1/Kcnb1/Mpp2/Car2/Tubb2b/Snap91/Kcnj10/Atp2a2/Slc24a2/Calb2/Cspg5/Serpine2/Grin2c/Rapgef2/Shisa9/Nptn/Shisa6/Slc1a3/Prkcb/Apoe/Gabra1/Reln/Penk/S100b/Rab3a/Sez6/Gabrb3/Sipa1l1/Syt6/Dbi/Pak1/Doc2g/Camk2b/Vamp2/Dlg2/Lgmn/Gnai2/Calm1/Mapk1/Slc17a7/Mef2c/Cplx1/Cacna1g/Syn2/Grm5/Ppp3r1/Nat8l/Syt7/Grm1/Grin1/Baiap2/Sncb/Ppp3ca/Cacng3/Camk2a/Kif1b/Arc/Nrgn/Th/Ptprd/Rasgrf2/Gnai1/Syt5/Pcdh8/Agt/Fam107a/Npy/Chrm1/Slc7a11/Sorbs2/Ptn/Neto1/Gabra5/Ptk2b/Ly6c1/Synpo/Nrxn3/Zdhhc2/Cacnb3/Lrp8/Sphk1/Akap12/Slitrk5/Htr3a/Fcgr2b/Itpr3/Ly6g6e/Grin3a/Calb1,131
GO:0007268,BP,GO:0007268,chemical synaptic transmission,126/797,467/8436,1.03701790863814e-29,8.96674818335778e-27,6.29306130873565e-27,Epha4/Slc6a9/Slc17a6/Cacnb4/Cx3cl1/Syn1/Nptx1/Ncdn/Ptk2/Cplx2/Dlgap1/Glul/Ppp1r9a/Plcb1/Mctp1/Ctbp2/Ncam1/Mgll/Fyn/Lin7a/Snap25/Dlg4/Kif5b/Slc1a1/Prkca/Kalrn/Syt1/Stxbp1/Prkce/Ntrk2/Atp2b2/Gria1/Pfn2/Gria2/Trim9/Unc13c/Tacr1/Slc6a1/Nr4a1/Myo5a/Egr1/Kcnb1/Mpp2/Car2/Tubb2b/Snap91/Kcnj10/Atp2a2/Slc24a2/Calb2/Cspg5/Serpine2/Grin2c/Rapgef2/Shisa9/Nptn/Shisa6/Slc1a3/Prkcb/Apoe/Gabra1/Reln/Penk/S100b/Rab3a/Sez6/Gabrb3/Sipa1l1/Syt6/Dbi/Pak1/Doc2g/Camk2b/Vamp2/Dlg2/Lgmn/Gnai2/Calm1/Mapk1/Slc17a7/Mef2c/Cplx1/Cacna1g/Syn2/Grm5/Ppp3r1/Nat8l/Syt7/Grm1/Grin1/Baiap2/Sncb/Ppp3ca/Cacng3/Camk2a/Kif1b/Arc/Nrgn/Th/Ptprd/Rasgrf2/Gnai1/Syt5/Pcdh8/Agt/Fam107a/Npy/Chrm1/Slc7a11/Ptn/Neto1/Gabra5/Ptk2b/Synpo/Nrxn3/Zdhhc2/Cacnb3/Lrp8/Sphk1/Akap12/Slitrk5/Htr3a/Fcgr2b/Itpr3/Grin3a/Calb1,126
GO:0098916,BP,GO:0098916,anterograde trans-synaptic signaling,126/797,467/8436,1.03701790863814e-29,8.96674818335778e-27,6.29306130873565e-27,Epha4/Slc6a9/Slc17a6/Cacnb4/Cx3cl1/Syn1/Nptx1/Ncdn/Ptk2/Cplx2/Dlgap1/Glul/Ppp1r9a/Plcb1/Mctp1/Ctbp2/Ncam1/Mgll/Fyn/Lin7a/Snap25/Dlg4/Kif5b/Slc1a1/Prkca/Kalrn/Syt1/Stxbp1/Prkce/Ntrk2/Atp2b2/Gria1/Pfn2/Gria2/Trim9/Unc13c/Tacr1/Slc6a1/Nr4a1/Myo5a/Egr1/Kcnb1/Mpp2/Car2/Tubb2b/Snap91/Kcnj10/Atp2a2/Slc24a2/Calb2/Cspg5/Serpine2/Grin2c/Rapgef2/Shisa9/Nptn/Shisa6/Slc1a3/Prkcb/Apoe/Gabra1/Reln/Penk/S100b/Rab3a/Sez6/Gabrb3/Sipa1l1/Syt6/Dbi/Pak1/Doc2g/Camk2b/Vamp2/Dlg2/Lgmn/Gnai2/Calm1/Mapk1/Slc17a7/Mef2c/Cplx1/Cacna1g/Syn2/Grm5/Ppp3r1/Nat8l/Syt7/Grm1/Grin1/Baiap2/Sncb/Ppp3ca/Cacng3/Camk2a/Kif1b/Arc/Nrgn/Th/Ptprd/Rasgrf2/Gnai1/Syt5/Pcdh8/Agt/Fam107a/Npy/Chrm1/Slc7a11/Ptn/Neto1/Gabra5/Ptk2b/Synpo/Nrxn3/Zdhhc2/Cacnb3/Lrp8/Sphk1/Akap12/Slitrk5/Htr3a/Fcgr2b/Itpr3/Grin3a/Calb1,126
GO:0099537,BP,GO:0099537,trans-synaptic signaling,126/797,475/8436,6.22056163136689e-29,4.61032482050449e-26,3.23562747111249e-26,Epha4/Slc6a9/Slc17a6/Cacnb4/Cx3cl1/Syn1/Nptx1/Ncdn/Ptk2/Cplx2/Dlgap1/Glul/Ppp1r9a/Plcb1/Mctp1/Ctbp2/Ncam1/Mgll/Fyn/Lin7a/Snap25/Dlg4/Kif5b/Slc1a1/Prkca/Kalrn/Syt1/Stxbp1/Prkce/Ntrk2/Atp2b2/Gria1/Pfn2/Gria2/Trim9/Unc13c/Tacr1/Slc6a1/Nr4a1/Myo5a/Egr1/Kcnb1/Mpp2/Car2/Tubb2b/Snap91/Kcnj10/Atp2a2/Slc24a2/Calb2/Cspg5/Serpine2/Grin2c/Rapgef2/Shisa9/Nptn/Shisa6/Slc1a3/Prkcb/Apoe/Gabra1/Reln/Penk/S100b/Rab3a/Sez6/Gabrb3/Sipa1l1/Syt6/Dbi/Pak1/Doc2g/Camk2b/Vamp2/Dlg2/Lgmn/Gnai2/Calm1/Mapk1/Slc17a7/Mef2c/Cplx1/Cacna1g/Syn2/Grm5/Ppp3r1/Nat8l/Syt7/Grm1/Grin1/Baiap2/Sncb/Ppp3ca/Cacng3/Camk2a/Kif1b/Arc/Nrgn/Th/Ptprd/Rasgrf2/Gnai1/Syt5/Pcdh8/Agt/Fam107a/Npy/Chrm1/Slc7a11/Ptn/Neto1/Gabra5/Ptk2b/Synpo/Nrxn3/Zdhhc2/Cacnb3/Lrp8/Sphk1/Akap12/Slitrk5/Htr3a/Fcgr2b/Itpr3/Grin3a/Calb1,126
GO:0043025,CC,GO:0043025,neuronal cell body,124/797,490/8436,2.18423114210664e-26,1.41647389565616e-23,9.9411256849301e-24,Epha4/Camk2n1/Cx3cl1/Crmp1/Ptprz1/Ret/Ncdn/Dlg3/Lamp1/Negr1/Pgrmc1/Cplx2/Glul/Ppp1r9a/Ncam1/Kcna2/Sh3gl2/Snap25/Slc1a1/Epha5/Cdk5r1/Prkca/Kalrn/Ntrk2/Nrsn1/Eno2/Atp2b2/Sdc2/Gria1/Gria2/Olfm1/Map2/Mapk10/Map1b/Slc6a1/Myo5a/Kcnb1/Cpe/Atp2b1/Zfp385a/Trak2/Snap91/Pde1c/Cst3/Apc/Cck/Kif5a/Arhgef2/Gpm6a/Slc8a1/Serpine2/Mbp/Rapgef2/Serpinf1/Slc1a3/Dner/Apoe/Kcnj4/Reln/Polr2m/Penk/Atp1a2/Zfp804a/Scn3a/S100b/Sez6/Sipa1l1/Elovl5/Gdpd5/Camk2b/Dlg2/Fabp7/Serpini1/Mapk1/Cplx1/Cacna1g/S100a5/Map2k1/Rtn4/Rbfox3/Dcx/Gria3/Kcnd2/Apod/Omp/Syt7/Lrp4/Grm1/Ybx1/Grin1/Dpysl5/Baiap2/Sncb/Camk2a/Shroom2/Nrgn/Rap1gap/Th/Cnn3/Canx/Syt5/Dpp6/Npy/Snx18/Whrn/Igf1/Cryab/Sorbs2/Gabra5/Ptk2b/Hpca/Kcnip1/Rgs12/Amigo1/Kcnb2/Akap12/Anxa5/Htr3a/Aqp1/Itpr3/Lpar1/Gal/Grin3a/Calb1,124
GO:0043269,BP,GO:0043269,regulation of ion transport,103/797,376/8436,8.10160589962118e-25,4.67012571191497e-22,3.27759705342569e-22,Slc6a9/Fkbp1a/Fxyd6/Cacnb4/Cx3cl1/Gja1/Ahnak/Kcnh3/Plcb1/Kcna2/Fyn/Cav1/Dlg4/Kif5b/Pcp4/Scn1b/Slc9a3r1/Prkca/Syt1/Stxbp1/Fgf13/Prkce/Fxyd1/Atp2b2/Ywhah/Plp1/Atp1a1/Usp2/Slc38a3/Stk39/Slc6a1/Myo5a/Kcnb1/Trh/Atp2b1/Hspa2/Car2/Kcnj10/Cck/Tmbim6/Slc8a1/Serpine2/Shisa9/Shisa6/B2m/Prkcb/Kcnj4/Reln/Atp1a2/Scn3a/Rab3a/Syt6/Dbi/Calm2/Gnb5/Cd63/Vamp2/Gnai2/Calm1/Gpm6b/Ank3/Tspan13/Mef2c/Cacna1g/S100a1/Rtn4/Grm5/Kcnd2/Nat8l/Atp1b1/Syt7/Atp1b2/Grin1/Arl6ip1/Cacng3/Camk2a/Arc/Rasgrf2/Syt5/Agt/Dpp6/Wnk4/Rgs2/Nppa/Chrm1/Bin1/Igf1/Kcnj16/Neto1/Ptk2b/Hpca/Kcnip1/Kcna4/Cacnb3/Dpp10/Atp2b4/Amigo1/Kcnb2/Tpcn1/Htr3a/Hes1/Stom/Gal,103
GO:0050804,BP,GO:0050804,modulation of chemical synaptic transmission,98/797,348/8436,1.2757482975858e-24,6.61858216787515e-22,4.64506669615715e-22,Epha4/Cacnb4/Syn1/Nptx1/Ncdn/Ptk2/Cplx2/Dlgap1/Glul/Ppp1r9a/Plcb1/Mctp1/Ncam1/Mgll/Fyn/Snap25/Dlg4/Kif5b/Slc1a1/Prkca/Kalrn/Syt1/Stxbp1/Prkce/Ntrk2/Atp2b2/Gria1/Pfn2/Gria2/Unc13c/Tacr1/Slc6a1/Myo5a/Egr1/Kcnb1/Mpp2/Car2/Tubb2b/Kcnj10/Atp2a2/Slc24a2/Calb2/Cspg5/Serpine2/Grin2c/Rapgef2/Shisa9/Nptn/Shisa6/Slc1a3/Prkcb/Apoe/Reln/S100b/Rab3a/Sipa1l1/Dbi/Pak1/Camk2b/Vamp2/Lgmn/Gnai2/Calm1/Mapk1/Mef2c/Cplx1/Grm5/Ppp3r1/Syt7/Grm1/Grin1/Baiap2/Ppp3ca/Cacng3/Camk2a/Arc/Nrgn/Ptprd/Rasgrf2/Gnai1/Pcdh8/Agt/Fam107a/Slc7a11/Ptn/Neto1/Ptk2b/Synpo/Nrxn3/Zdhhc2/Cacnb3/Lrp8/Sphk1/Akap12/Fcgr2b/Itpr3/Grin3a/Calb1,98
