,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0019226,BP,GO:0019226,transmission of nerve impulse,16/797,47/8436,3.14527638056533e-06,5.55023600760985e-05,3.89527783758521e-05,Cacnb4/Kcna2/Scn1b/Ntrk2/Kcnmb4/Gria1/Scn3a/Pak1/Ank3/Cacna1g/Kcnd2/Cacng3/Agt/Dpp6/Pmp22/Myh14,16
GO:0030018,CC,GO:0030018,Z disc,20/797,71/8436,5.41701927898286e-06,8.67391852449478e-05,6.08754700649828e-05,Fkbp1a/Dst/Jup/Myl9/Aldoa/Slc8a1/Pak1/Ppp3cb/Ank3/Csrp1/S100a1/Ppp3ca/Myl12a/Pygm/Bin1/Cryab/Synpo/Bag3/Atp2b4/Anxa5,20
GO:0030017,CC,GO:0030017,sarcomere,24/797,97/8436,7.7697793178848e-06,0.000117864371640896,8.27198112051816e-05,Fkbp1a/Dst/Jup/Myl9/Aldoa/Slc8a1/Calm2/Pak1/Ppp3cb/Calm1/Ank3/Mef2c/Csrp1/Tpm1/S100a1/Ppp3ca/Myl12a/Pygm/Bin1/Cryab/Synpo/Bag3/Atp2b4/Anxa5,24
GO:0031674,CC,GO:0031674,I band,20/797,73/8436,8.60795136440794e-06,0.000129440018531724,9.08438550706555e-05,Fkbp1a/Dst/Jup/Myl9/Aldoa/Slc8a1/Pak1/Ppp3cb/Ank3/Csrp1/S100a1/Ppp3ca/Myl12a/Pygm/Bin1/Cryab/Synpo/Bag3/Atp2b4/Anxa5,20
GO:0035637,BP,GO:0035637,multicellular organismal signaling,21/797,79/8436,8.64530250121084e-06,0.000129440018531724,9.08438550706555e-05,Cacnb4/Gja1/Kcna2/Cav1/Scn1b/Ntrk2/Kcnmb4/Gria1/Jup/Slc8a1/Scn3a/Pak1/Ank3/Cacna1g/Kcnd2/Cacng3/Agt/Dpp6/Pmp22/Bin1/Myh14,21
GO:0004888,MF,GO:0004888,transmembrane signaling receptor activity,36/797,184/8436,1.67840076880415e-05,0.000221565984441626,0.000155499886414719,Epha4/Ret/Epha5/Ntrk2/Cntfr/Gria1/Gria2/Tyro3/Tacr1/Abca1/Grin2c/Axl/Slc22a17/Gabra1/Gpr37l1/Gabrb3/Grm5/Gria3/Grm1/Grin1/Fcer1g/Epha10/Chrm1/Plxnd1/Gabra5/Lrp8/Sphk1/Ctsh/Lifr/Npy1r/Htr3a/Fcgr2b/Lpar1/Ly6g6e/Gal/Grin3a,36
GO:0030016,CC,GO:0030016,myofibril,25/797,109/8436,2.09216574174958e-05,0.000270003877318329,0.000189494666161608,Fkbp1a/Ahnak/Dst/Jup/Myl9/Aldoa/Slc8a1/Calm2/Pak1/Ppp3cb/Calm1/Ank3/Mef2c/Csrp1/Tpm1/S100a1/Ppp3ca/Myl12a/Pygm/Bin1/Cryab/Synpo/Bag3/Atp2b4/Anxa5,25
GO:0021879,BP,GO:0021879,forebrain neuron differentiation,11/797,28/8436,2.37905720933493e-05,0.000301037775659259,0.000211274939334776,Sox1/Rapgef2/B2m/Dcx/Hes5/Dlx1/Bcl11b/Foxg1/Dclk2/Tbr1/Hes1,11
GO:0099072,BP,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,19/797,72/8436,2.57835944352284e-05,0.000323545698043378,0.000227071494852908,Nptx1/Dlg3/Caly/Snap25/Dlg4/Kalrn/Mapk10/Shisa6/Pip5k1c/Vamp2/Dlg2/Cplx1/Map2k1/Ppp3r1/Cacng3/Arhgap44/Camk2a/Arc/Hpca,19
GO:0045933,BP,GO:0045933,positive regulation of muscle contraction,7/797,12/8436,3.39075161412548e-05,0.000415868070309291,0.000291865368502179,Atp1a1/Tacr1/Chga/Map2k1/Rgs2/Nppa/Sphk1,7
GO:0019228,BP,GO:0019228,neuronal action potential,10/797,25/8436,4.68021926381169e-05,0.000546868863528267,0.000383804609614145,Kcna2/Kcnmb4/Gria1/Scn3a/Ank3/Cacna1g/Kcnd2/Dpp6/Pmp22/Myh14,10
GO:0015849,BP,GO:0015849,organic acid transport,29/797,142/8436,4.86030351115127e-05,0.000566634935187703,0.000397676873922466,Slc6a9/Slc1a2/Cacnb4/Gja1/Plin2/Sfxn5/Slc1a1/Slc9a3r1/Stxbp1/Ntrk2/Fxyd1/Slc38a3/Slc6a1/Trh/Kcnj10/Cck/Slc1a3/Slc6a7/Apoe/Nmb/Pak1/Slc17a7/Grm1/Arl6ip1/Agt/Rgs2/Slc7a11/Slc13a3/Slc6a13,29
GO:0061061,BP,GO:0061061,muscle structure development,55/797,343/8436,5.49544103517954e-05,0.000626601056934317,0.000439762418523679,Fkbp1a/Prkar1a/Cacnb4/Gja1/Ddx5/Qk/Plcb1/Ski/Cav1/Spag9/Cd81/Cntfr/Eomes/Usp2/Id3/Nr4a1/Ddx17/Pik3r1/Egr1/Atp2a2/Slc8a1/Megf10/Mbnl1/Dner/S100b/Id2/Pak1/Cmtm5/Tmsb4x/Epas1/Mef2c/Csrp1/Hlf/Tpm1/Ybx1/Ppp3ca/Btg1/H3f3a/Igfbp5/Nr2f2/Agt/Rgs2/Pmp22/Bin1/Igf1/Cryab/Rbfox1/Sorbs2/Myh14/Sox11/Prickle1/Heyl/Hey2/Hes1/Rxra,55
GO:0045165,BP,GO:0045165,cell fate commitment,23/797,102/8436,5.89762961396219e-05,0.000664955254796268,0.000466680239082151,Prickle2/Fgf13/Eomes/Sox1/Apc/Arhgef2/Wnt6/Id2/Epas1/Arx/Mef2c/Ets2/Nr2f2/Hes5/Lmo4/Sh3pxd2b/Dlx1/Bcl11b/Foxg1/Hey2/Tbr1/Hes1/Neurod1,23
GO:0055119,BP,GO:0055119,relaxation of cardiac muscle,7/797,13/8436,6.74823599689004e-05,0.000737788048026987,0.000517795897034725,Camk2g/Atp2a2/Chga/Atp1b1/Gsn/Rgs2/Pde5a,7
GO:0006835,BP,GO:0006835,dicarboxylic acid transport,15/797,53/8436,7.5784423567536e-05,0.00079750423827257,0.000559706034205417,Slc1a2/Gja1/Slc1a1/Stxbp1/Ntrk2/Trh/Kcnj10/Cck/Slc1a3/Pak1/Slc17a7/Grm1/Arl6ip1/Slc7a11/Slc13a3,15
GO:0060538,BP,GO:0060538,skeletal muscle organ development,22/797,98/8436,9.1110203541523e-05,0.000947253979906655,0.000664803700137386,Ddx5/Ski/Cav1/Cntfr/Eomes/Usp2/Nr4a1/Ddx17/Egr1/Megf10/Mbnl1/Dner/S100b/Mef2c/Hlf/Ppp3ca/Nr2f2/Pmp22/Rbfox1/Myh14/Sox11/Heyl,22
GO:1903829,BP,GO:1903829,positive regulation of cellular protein localization,34/797,184/8436,9.57976263394197e-05,0.000984154624651306,0.00069070138511319,Gpsm2/Cacnb4/Pgrmc1/Fyn/Dlg4/Kif5b/Cdk5r1/Cd81/Fbxw7/Jup/Pik3r1/Myo5a/Kcnb1/Necab2/Apc/Nptn/Pak1/Ank3/Mapk1/Rtn4/Lrp4/Gnai1/Dpp6/Yap1/Fcer1g/Ptn/Hpca/Zdhhc2/Cacnb3/Dpp10/Bag3/Atp2b4/Wwtr1/Stom,34
GO:0021872,BP,GO:0021872,forebrain generation of neurons,11/797,32/8436,0.000100400035212148,0.00101932560211473,0.000715385151506481,Sox1/Rapgef2/B2m/Dcx/Hes5/Dlx1/Bcl11b/Foxg1/Dclk2/Tbr1/Hes1,11
GO:0045744,BP,GO:0045744,negative regulation of G protein-coupled receptor signaling pathway,11/797,32/8436,0.000100400035212148,0.00101932560211473,0.000715385151506481,Aplp1/Arrb1/Necab2/Camk2b/Gnai2/Grm5/Rgs2/Atp2b4/Rgs12/Ly6g6e/Pld2,11
GO:0060251,BP,GO:0060251,regulation of glial cell proliferation,10/797,27/8436,0.000101366075632777,0.0010226266521715,0.000717701901120238,Ptk2/Vim/Ski/Ppp1cc/Pmp22/Igf1/Ptn/Sox11/Sox10/Hes1,10
GO:0003333,BP,GO:0003333,amino acid transmembrane transport,14/797,49/8436,0.000116988270383002,0.0011473254191815,0.000805218241478068,Slc6a9/Slc1a2/Slc1a1/Slc38a3/Kcnj10/Slc1a3/Slc6a7/Grm1/Arl6ip1/Agt/Rgs2/Slc7a11/Slc13a3/Slc6a13,14
GO:0098982,CC,GO:0098982,GABA-ergic synapse,14/797,49/8436,0.000116988270383002,0.0011473254191815,0.000805218241478068,Plcb1/Ctbp2/Atp2b2/Atp2b1/Cspg5/Gabra1/Gabrb3/Pak1/Kcnd2/Syt7/Iqsec3/Ptpro/Nrxn3/Calb1,14
GO:0007519,BP,GO:0007519,skeletal muscle tissue development,21/797,93/8436,0.00011971261604669,0.00117108123271267,0.000821890594479796,Ddx5/Ski/Cav1/Eomes/Usp2/Nr4a1/Ddx17/Egr1/Megf10/Mbnl1/Dner/S100b/Mef2c/Hlf/Ppp3ca/Nr2f2/Pmp22/Rbfox1/Myh14/Sox11/Heyl,21
GO:1903533,BP,GO:1903533,regulation of protein targeting,12/797,38/8436,0.000124402770265765,0.00120186512502568,0.00084349540791783,Fyn/Slc1a1/Cdk5r1/Fbxw7/Kcnb1/Pak1/Ank3/Hpca/Cacnb3/Bag3/Srebf1/Stom,12
GO:0099563,BP,GO:0099563,modification of synaptic structure,10/797,28/8436,0.000144463577599127,0.00136765883318297,0.000959853082818631,Epha4/Marcks/Pgrmc1/Wasf1/Kalrn/Camkv/Pfn2/Baiap2/Arhgap44/Synpo,10
GO:0019905,MF,GO:0019905,syntaxin binding,16/797,62/8436,0.000147645840227087,0.00139270294381478,0.000977429591091856,Cplx2/Snap25/Cav1/Syt1/Stxbp1/Nsf/Unc13c/Myo5a/Abca1/Syt6/Vamp2/Cplx1/Tmed10/Syt7/Syt5/Tpcn1,16
GO:0090075,BP,GO:0090075,relaxation of muscle,8/797,19/8436,0.000179645356806625,0.00165444559970387,0.00116112635015536,Camk2g/Atp2a2/Slc8a1/Chga/Atp1b1/Gsn/Rgs2/Pde5a,8
GO:0090314,BP,GO:0090314,positive regulation of protein targeting to membrane,8/797,19/8436,0.000179645356806625,0.00165444559970387,0.00116112635015536,Fyn/Cdk5r1/Kcnb1/Pak1/Ank3/Hpca/Cacnb3/Stom,8
